Spanish,English
aceptable,acceptable
volverme,Back
urgencia,urgency
sentarnos,sit
roman,Roman
privados,private
postura,position
ponernos,put on
peluca,wig
parecería,it would seem
palomitas,Popcorn
nocturna,Night
mercenarios,mercenaries
maricas,fags
mantendrá,will keep
intenten,Try
guardas,you keep
grúa,crane
gastado,spent
estrelló,crashed
digital,digital
dieran,DIE
corría,It ran
capturar,capture
campeones,Champions
ardilla,squirrel
apaguen,turn off
amen,amen
acostumbrada,accustomed
sugerir,suggest
sucias,dirty
succión,suction
registrar,to register
propietario,owner
portero,goalie
perdonarme,forgive me
parados,unemployed
ofrecido,offered
muevete,move on
marcharme,leave
marchado,left
israel,Israel
informarle,Inform you
hablaban,They talked
ganadores,Winners
firmas,firms
expresar,express
empezaba,It started
despierten,wake up
crearon,They created
claridad,clarity
ciegos,Blind
bloque,block
alterado,altered
vestirme,Dress
velada,evening
serias,Serious
salvarla,save her
procedimientos,procedures
porche,porch
ponerla,put it
pasemos,Let's pass
pala,shovel
ogros,OGROS
movió,moved
molestarme,annoy me
menuda,What's small
hostil,hostile
epidemia,epidemic
enséñame,teach me
deténganlo,stop it
detenernos,stop
describir,describe
concedido,granted
comunicado,release
comparar,compare
cogeré,I will take
callas,Shuts
busques,Look
acercándose,Approaching
abandona,Abandon
volado,flown
ventajas,advantages
tubería,pipeline
traicionaste,You betrayed
traerla,bring it
suministros,Supplies
regresando,coming back
recientes,Recent
puñado,handful
pretender,pretend
pasadas,past
guardo,I keep
girando,Touring
fugitivo,fugitive
escoba,broom
escaparse,escape
empleos,jobs
echen,Echen
duran,Duran
duque,duke
dondequiera,wherever
dibujar,draw
destinado,intended
dedico,I dedicate
cuidadoso,careful
cristales,crystals
creerte,Believe you
clavo,nail
cápsula,capsule
bastón,walking stick
atencion,attention
aliado,ally
agradece,Thanks
acepté,I accepted
aceptaré,I will accept
aborten,abort
utilizado,used
tranvía,trolley car
trágico,tragic
tequila,tequila
sostener,hold
serviría,It would serve
retira,withdraw
redonda,Round
realizado,done
